Year,runtime,vote_average,Action,Animation,Aventure,Comédie,Crime,Documentaire,Drame,Familial,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Thriller,Téléfilm,Western
0.7865168539325857,0.6751054852320674,0.9062965936460604,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.0,0.481012658227848,0.8541117100584931,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9550561797752835,0.40506329113924044,0.6747333409794701,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9887640449438209,0.38396624472573837,0.768322055281569,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9550561797752835,0.4599156118143459,0.832664296364262,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.8651685393258433,0.3966244725738396,0.8377107466452576,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9662921348314626,0.40506329113924044,0.7949306113086364,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9325842696629216,0.3122362869198312,0.7614405321711206,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.8876404494382015,0.29957805907172996,0.7360935887143022,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9662921348314626,0.2953586497890295,0.8028443628856521,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.9213483146067425,0.49367088607594933,0.7110907214130061,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9775280898876417,0.5527426160337552,0.6833352448675307,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9662921348314626,0.3924050632911392,0.6804679435715105,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.9775280898876417,0.45569620253164544,0.7454983369652484,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9325842696629216,0.3924050632911392,0.7454983369652484,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9438202247191008,0.30379746835443033,0.7083381121688268,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.9438202247191008,0.33755274261603374,0.5963986695721987,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9325842696629216,0.2911392405063291,0.8950567725656613,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.9213483146067425,0.3122362869198312,0.6996215162289253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0.9887640449438209,0.43459915611814337,0.8277325381351073,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9662921348314626,0.3459915611814346,0.7828879458653516,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.9775280898876417,0.4092827004219408,0.8601903888060558,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9662921348314626,0.40506329113924044,0.8393164353710288,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9662921348314626,0.32067510548523204,0.6739304966165846,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9662921348314626,0.45569620253164544,0.8432159651336163,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.9325842696629216,0.3459915611814346,0.7221011583897237,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9662921348314626,0.40506329113924044,0.7934396146347059,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9438202247191008,0.43881856540084385,0.7137286386053446,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9101123595505634,0.37130801687763704,0.6907902282371832,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9887640449438209,0.25316455696202533,0.7725656611996788,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.9550561797752835,0.24894514767932488,0.8053675880261498,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1.0,0.3755274261603375,0.7779561876361969,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9101123595505634,0.2700421940928269,0.9301525404289482,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.8988764044943842,0.24050632911392403,0.7454983369652484,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9213483146067425,0.5232067510548523,0.6735864204610621,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9213483146067425,0.2616033755274261,0.7919486179607754,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.9887640449438209,0.3966244725738396,0.6262186030508087,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
